uid,tid,ft,y
1,1,11,10.708754539489746
1,2,11,10.87508487701416
1,3,11,11.09319019317627
1,4,11,11.142115592956543
1,5,11,11.061586380004883
1,6,11,10.311944007873535
1,7,11,10.504647254943848
1,8,11,10.709487915039062
1,9,11,11.185829162597656
1,10,11,11.172532081604004
1,11,11,11.155838966369629
1,12,11,10.965792655944824
2,1,7,14.397400856018066
2,2,7,14.621910095214844
2,3,7,14.611395835876465
2,4,7,14.705193519592285
2,5,7,14.742151260375977
2,6,7,14.758041381835938
2,7,7,14.840145111083984
2,8,7,15.194250106811523
2,9,7,15.372053146362305
2,10,7,15.365799903869629
2,11,7,15.45759391784668
2,12,7,15.479466438293457
3,1,12,12.391932487487793
3,2,12,12.366414070129395
3,3,12,12.362008094787598
3,4,12,12.497631072998047
3,5,12,12.55264949798584
3,6,12,12.611370086669922
3,7,12,12.825799942016602
3,8,12,12.966300964355469
3,9,12,13.535387992858887
3,10,12,13.433152198791504
3,11,12,13.703184127807617
3,12,12,13.651201248168945
4,1,12,9.340408325195312
4,2,12,8.650890350341797
4,3,12,10.383723258972168
4,4,12,9.478702545166016
4,5,12,9.444573402404785
4,6,12,9.532554626464844
4,7,12,9.487556457519531
4,8,12,9.584856033325195
4,9,12,9.059563636779785
4,10,12,9.506864547729492
4,11,12,10.778308868408203
4,12,12,11.687021255493164
5,1,2,10.054760932922363
5,2,2,10.60342025756836
5,3,2,10.507415771484375
5,4,2,10.833501815795898
5,5,2,10.746054649353027
5,6,2,10.888035774230957
5,7,2,10.863853454589844
5,8,2,11.130962371826172
5,9,2,10.947888374328613
5,10,2,11.54743766784668
5,11,2,11.825806617736816
5,12,2,10.761272430419922
6,1,10,12.99267292022705
6,2,10,12.7797269821167
6,3,10,12.919879913330078
6,4,10,12.971589088439941
6,5,10,13.031383514404297
6,6,10,13.144777297973633
6,7,10,13.138669967651367
6,8,10,13.358854293823242
6,9,10,13.401412010192871
6,10,10,13.337364196777344
6,11,10,13.845322608947754
6,12,10,13.82107925415039
7,1,12,13.054706573486328
7,2,12,12.726703643798828
7,3,12,12.591063499450684
7,4,12,12.981436729431152
7,5,12,13.178939819335938
7,6,12,13.003763198852539
7,7,12,12.94471549987793
7,8,12,13.09378719329834
7,9,12,13.10285758972168
7,10,12,13.147852897644043
7,11,12,13.13326358795166
7,12,12,12.958614349365234
8,1,10,11.167329788208008
8,2,10,11.320395469665527
8,3,10,10.694808006286621
8,4,10,10.618146896362305
8,5,10,11.173176765441895
8,6,10,11.646743774414062
8,7,10,12.49372673034668
8,8,10,12.535497665405273
8,9,10,12.80665397644043
8,10,10,13.120771408081055
8,11,10,13.270345687866211
8,12,10,13.131871223449707
9,1,6,13.182004928588867
9,2,6,13.252037048339844
9,3,6,13.303464889526367
9,4,6,13.755719184875488
9,5,6,13.618783950805664
9,6,6,13.603279113769531
9,7,6,13.726946830749512
9,8,6,14.052809715270996
9,9,6,14.190022468566895
9,10,6,14.185439109802246
9,11,6,14.399605751037598
9,12,6,14.110517501831055
10,1,12,8.41251277923584
10,2,12,8.504021644592285
10,3,12,8.843304634094238
10,4,12,8.96312427520752
10,5,12,8.950117111206055
10,6,12,8.736861228942871
10,7,12,0.0
10,8,12,9.464709281921387
10,9,12,10.177240371704102
10,10,12,10.208040237426758
10,11,12,10.854047775268555
10,12,12,10.701742172241211
11,1,12,13.23172664642334
11,2,12,13.38237190246582
11,3,12,13.33163070678711
11,4,12,13.44526481628418
11,5,12,13.524497032165527
11,6,12,13.43632698059082
11,7,12,13.760204315185547
11,8,12,14.47262954711914
11,9,12,14.675406455993652
11,10,12,14.825888633728027
11,11,12,14.824984550476074
11,12,12,14.840311050415039
12,1,9,10.839073181152344
12,2,9,10.794656753540039
12,3,9,10.773406982421875
12,4,9,10.83503246307373
12,5,9,11.194987297058105
12,6,9,10.999591827392578
12,7,9,11.028340339660645
12,8,9,11.007845878601074
12,9,9,11.335413932800293
12,10,9,11.139174461364746
12,11,9,12.411227226257324
12,12,9,11.037232398986816
13,1,12,14.321701049804688
13,2,12,14.28757095336914
13,3,12,14.335140228271484
13,4,12,14.503972053527832
13,5,12,14.850555419921875
13,6,12,14.90842056274414
13,7,12,15.147859573364258
13,8,12,15.09721851348877
13,9,12,15.06307601928711
13,10,12,15.23466682434082
13,11,12,15.342353820800781
13,12,12,15.33968734741211
14,1,8,10.961569786071777
14,2,8,10.461596488952637
14,3,8,10.960867881774902
14,4,8,10.531721115112305
14,5,8,10.734715461730957
14,6,8,10.93139934539795
14,7,8,10.834826469421387
14,8,8,12.134621620178223
14,9,8,12.154557228088379
14,10,8,12.753525733947754
14,11,8,12.758509635925293
14,12,8,12.714606285095215
15,1,12,11.130257606506348
15,2,12,10.398748397827148
15,3,12,10.42993450164795
15,4,12,11.308208465576172
15,5,12,11.587075233459473
15,6,12,11.219915390014648
15,7,12,11.389999389648438
15,8,12,11.47232723236084
15,9,12,11.460921287536621
15,10,12,11.662837982177734
15,11,12,12.256199836730957
15,12,12,12.353827476501465
16,1,12,8.385331153869629
16,2,12,9.519464492797852
16,3,12,9.483039855957031
16,4,12,9.54542064666748
16,5,12,9.523399353027344
16,6,12,9.658586502075195
16,7,12,10.262242317199707
16,8,12,10.960521697998047
16,9,12,10.9802885055542
16,10,12,11.072343826293945
16,11,12,11.99389934539795
16,12,12,12.131451606750488
17,1,8,9.896986961364746
17,2,8,10.6451997756958
17,3,8,10.91590404510498
17,4,8,11.268425941467285
17,5,8,11.0272798538208
17,6,8,11.452164649963379
17,7,8,11.431389808654785
17,8,8,11.538776397705078
17,9,8,11.60101318359375
17,10,8,11.798518180847168
17,11,8,11.775308609008789
17,12,8,11.93524169921875
18,1,11,11.182555198669434
18,2,11,11.437541961669922
18,3,11,11.37015151977539
18,4,11,12.454497337341309
18,5,11,12.582674026489258
18,6,11,12.797541618347168
18,7,11,13.223677635192871
18,8,11,13.185957908630371
18,9,11,13.093610763549805
18,10,11,13.195491790771484
18,11,11,13.06440544128418
18,12,11,12.854498863220215
19,1,10,10.209066390991211
19,2,10,9.848101615905762
19,3,10,9.684825897216797
19,4,10,10.089016914367676
19,5,10,10.099440574645996
19,6,10,10.26429557800293
19,7,10,10.201176643371582
19,8,10,10.510150909423828
19,9,10,10.307141304016113
19,10,10,10.747210502624512
19,11,10,10.520003318786621
19,12,10,11.176883697509766
20,1,12,10.572239875793457
20,2,12,8.317485809326172
20,3,12,8.713981628417969
20,4,12,9.370590209960938
20,5,12,9.928948402404785
20,6,12,9.928132057189941
20,7,12,10.245445251464844
20,8,12,10.835466384887695
20,9,12,10.998628616333008
20,10,12,12.029046058654785
20,11,12,11.120671272277832
20,12,12,11.076470375061035
21,1,11,6.549746036529541
21,2,11,8.625967979431152
21,3,11,8.388015747070312
21,4,11,8.6754150390625
21,5,11,7.394990921020508
21,6,11,9.423545837402344
21,7,11,9.615052223205566
21,8,11,10.247509002685547
21,9,11,8.897406578063965
21,10,11,10.896875381469727
21,11,11,11.186388969421387
21,12,11,11.130643844604492
22,1,9,11.035823822021484
22,2,9,10.645934104919434
22,3,9,10.980337142944336
22,4,9,11.998172760009766
22,5,9,11.961528778076172
22,6,9,11.253557205200195
22,7,9,11.041974067687988
22,8,9,11.451951026916504
22,9,9,11.220527648925781
22,10,9,11.568953514099121
22,11,9,11.295034408569336
22,12,9,11.126062393188477
23,1,11,6.204327583312988
23,2,11,5.296477794647217
23,3,11,9.65510082244873
23,4,11,8.507497787475586
23,5,11,8.860044479370117
23,6,11,9.200967788696289
23,7,11,9.485342979431152
23,8,11,9.323450088500977
23,9,11,8.888873100280762
23,10,11,9.170633316040039
23,11,11,9.160552978515625
23,12,11,9.061027526855469
24,1,9,10.233741760253906
24,2,9,8.712987899780273
24,3,9,9.803439140319824
24,4,9,10.857194900512695
24,5,9,10.309473037719727
24,6,9,10.89908218383789
24,7,9,11.898075103759766
24,8,9,11.068848609924316
24,9,9,11.805509567260742
24,10,9,11.730077743530273
24,11,9,11.962461471557617
24,12,9,12.327534675598145
25,1,11,7.933445930480957
25,2,11,10.458200454711914
25,3,11,10.477782249450684
25,4,11,10.851523399353027
25,5,11,10.43075180053711
25,6,11,11.206047058105469
25,7,11,11.335474967956543
25,8,11,11.788569450378418
25,9,11,11.528070449829102
25,10,11,11.47421646118164
25,11,11,11.554703712463379
25,12,11,11.363288879394531
26,1,11,10.683440208435059
26,2,11,10.742634773254395
26,3,11,10.460906028747559
26,4,11,10.60096549987793
26,5,11,10.170097351074219
26,6,11,10.920424461364746
26,7,11,10.839447021484375
26,8,11,10.734607696533203
26,9,11,10.727684020996094
26,10,11,10.764124870300293
26,11,11,11.588765144348145
26,12,11,11.480697631835938
27,1,6,10.367334365844727
27,2,6,9.918440818786621
27,3,6,10.362188339233398
27,4,6,10.271358489990234
27,5,6,10.77218246459961
27,6,6,11.05030345916748
27,7,6,10.938894271850586
27,8,6,11.221778869628906
27,9,6,11.644811630249023
27,10,6,11.755125999450684
27,11,6,11.840313911437988
27,12,6,11.518678665161133
28,1,12,9.414007186889648
28,2,12,8.844878196716309
28,3,12,8.827066421508789
28,4,12,8.434309005737305
28,5,12,8.222403526306152
28,6,12,9.283304214477539
28,7,12,9.178905487060547
28,8,12,8.852532386779785
28,9,12,8.914045333862305
28,10,12,8.934277534484863
28,11,12,8.82458782196045
28,12,12,8.599678039550781
29,1,11,9.722794532775879
29,2,11,9.416498184204102
29,3,11,9.062457084655762
29,4,11,8.425352096557617
29,5,11,8.730863571166992
29,6,11,10.134449005126953
29,7,11,8.684906959533691
29,8,11,9.323878288269043
29,9,11,9.458993911743164
29,10,11,11.092894554138184
29,11,11,10.317864418029785
29,12,11,10.004876136779785
30,1,3,8.75941276550293
30,2,3,8.934662818908691
30,3,3,9.26739501953125
30,4,3,9.09012222290039
30,5,3,9.33028793334961
30,6,3,9.038537979125977
30,7,3,9.868239402770996
30,8,3,10.236495018005371
30,9,3,10.53082275390625
30,10,3,10.851984024047852
30,11,3,10.83704948425293
30,12,3,10.666777610778809
31,1,11,9.539375305175781
31,2,11,10.181863784790039
31,3,11,10.509160995483398
31,4,11,10.463829040527344
31,5,11,10.616716384887695
31,6,11,10.461418151855469
31,7,11,10.443291664123535
31,8,11,10.257516860961914
31,9,11,10.035758972167969
31,10,11,10.389198303222656
31,11,11,12.207097053527832
31,12,11,11.198201179504395
32,1,11,10.43172550201416
32,2,11,9.659256935119629
32,3,11,10.232826232910156
32,4,11,10.33331298828125
32,5,11,10.132502555847168
32,6,11,10.581768035888672
32,7,11,11.678291320800781
32,8,11,11.903708457946777
32,9,11,12.3997220993042
32,10,11,12.791194915771484
32,11,11,12.483854293823242
32,12,11,12.829729080200195
33,1,12,10.14663314819336
33,2,12,10.267090797424316
33,3,12,9.70716381072998
33,4,12,10.024930953979492
33,5,12,8.924622535705566
33,6,12,9.453987121582031
33,7,12,10.961978912353516
33,8,12,11.002202033996582
33,9,12,11.053465843200684
33,10,12,11.329997062683105
33,11,12,11.638467788696289
33,12,12,11.43065071105957
34,1,11,5.207698345184326
34,2,11,9.166444778442383
34,3,11,8.930551528930664
34,4,11,8.931489944458008
34,5,11,9.523942947387695
34,6,11,9.017388343811035
34,7,11,5.760672092437744
34,8,11,10.610891342163086
34,9,11,10.587711334228516
34,10,11,10.54825496673584
34,11,11,10.603796005249023
34,12,11,10.54074478149414
35,1,11,10.763967514038086
35,2,11,10.672215461730957
35,3,11,10.843371391296387
35,4,11,11.331195831298828
35,5,11,11.048648834228516
35,6,11,10.78343677520752
35,7,11,10.878408432006836
35,8,11,11.305038452148438
35,9,11,11.556042671203613
35,10,11,11.88136100769043
35,11,11,12.180375099182129
35,12,11,12.250738143920898
36,1,6,10.258973121643066
36,2,6,10.482015609741211
36,3,6,11.046868324279785
36,4,6,10.710912704467773
36,5,6,10.461504936218262
36,6,6,11.472635269165039
36,7,6,11.4146728515625
36,8,6,11.475876808166504
36,9,6,11.560822486877441
36,10,6,11.609869003295898
36,11,6,11.555996894836426
36,12,6,11.42618465423584
37,1,12,9.818299293518066
37,2,12,9.7349853515625
37,3,12,9.206528663635254
37,4,12,8.133700370788574
37,5,12,1.1832748651504517
37,6,12,9.040288925170898
37,7,12,9.649665832519531
37,8,12,5.279955863952637
37,9,12,0.0
37,10,12,9.1824369430542
37,11,12,9.718246459960938
37,12,12,11.743841171264648
38,1,11,9.1104097366333
38,2,11,8.553874015808105
38,3,11,8.96144962310791
38,4,11,8.826128959655762
38,5,11,6.616736888885498
38,6,11,8.087886810302734
38,7,11,8.614799499511719
38,8,11,8.904887199401855
38,9,11,8.750497817993164
38,10,11,10.66406536102295
38,11,11,11.049750328063965
38,12,11,7.996636867523193
39,1,11,9.084476470947266
39,2,11,7.298971652984619
39,3,11,9.077840805053711
39,4,11,9.391791343688965
39,5,11,2.320683479309082
39,6,11,9.700141906738281
39,7,11,10.951127052307129
39,8,11,8.423858642578125
39,9,11,9.966060638427734
39,10,11,10.266569137573242
39,11,11,11.408347129821777
39,12,11,10.69968032836914
40,1,6,12.673592567443848
40,2,6,12.613180160522461
40,3,6,12.829879760742188
40,4,6,13.229693412780762
40,5,6,13.136587142944336
40,6,6,13.364270210266113
40,7,6,13.562225341796875
40,8,6,13.703171730041504
40,9,6,13.825910568237305
40,10,6,13.930863380432129
40,11,6,13.868829727172852
40,12,6,13.879938125610352
41,1,12,8.942780494689941
41,2,12,0.0
41,3,12,7.19029426574707
41,4,12,0.0
