iso,year,ly,v2x_polyarchy,v2x_polyarchy_sd,v2xlg_legcon,v2xlg_legcon_sd,v2x_jucon,v2x_jucon_sd
MEX,1960,8.460199469896118,0.228,0.020500000000000004,0.028,0.0225,0.287,0.1155
MEX,1961,8.47782846789396,0.23,0.021500000000000005,0.028,0.0225,0.287,0.1155
MEX,1962,8.493105395887147,0.231,0.021500000000000005,0.028,0.0225,0.287,0.1155
MEX,1963,8.540519016719735,0.231,0.021500000000000005,0.028,0.0225,0.287,0.1155
MEX,1964,8.62245370207373,0.231,0.021500000000000005,0.028,0.0225,0.287,0.1155
MEX,1965,8.654691704601872,0.231,0.021000000000000005,0.028,0.0225,0.287,0.1155
MEX,1966,8.691146498539675,0.231,0.021000000000000005,0.028,0.0225,0.287,0.1155
MEX,1967,8.721276239991704,0.235,0.022500000000000006,0.028,0.0225,0.287,0.1155
MEX,1968,8.769040810858803,0.236,0.024000000000000007,0.028,0.0225,0.287,0.1155
MEX,1969,8.79920924224139,0.241,0.023000000000000007,0.028,0.0225,0.287,0.1155
MEX,1970,8.835355971121606,0.248,0.024000000000000007,0.028,0.0225,0.285,0.11800000000000001
MEX,1971,8.841014310483892,0.247,0.023500000000000007,0.028,0.0225,0.285,0.11800000000000001
MEX,1972,8.889583991794973,0.249,0.024000000000000007,0.028,0.0225,0.285,0.11800000000000001
MEX,1973,8.935508711503221,0.248,0.023500000000000007,0.028,0.0225,0.285,0.11800000000000001
MEX,1974,8.962007209588313,0.249,0.022500000000000006,0.028,0.0225,0.285,0.11800000000000001
MEX,1975,8.988570876215118,0.249,0.022500000000000006,0.028,0.0225,0.285,0.11800000000000001
MEX,1976,9.003439196207838,0.26,0.025499999999999995,0.028,0.0225,0.285,0.11800000000000001
MEX,1977,9.009080614161977,0.276,0.028999999999999998,0.042,0.03,0.285,0.11800000000000001
MEX,1978,9.069928218259438,0.296,0.028999999999999998,0.042,0.03,0.285,0.11800000000000001
MEX,1979,9.13852208418571,0.296,0.0295,0.042,0.03,0.285,0.11800000000000001
MEX,1980,9.203215047033595,0.298,0.03,0.042,0.03,0.285,0.11800000000000001
MEX,1981,9.262743050769231,0.302,0.03,0.042,0.03,0.285,0.11800000000000001
MEX,1982,9.234056898593499,0.312,0.0325,0.059,0.040999999999999995,0.292,0.126
MEX,1983,9.175334762777368,0.319,0.034,0.082,0.054,0.292,0.126
MEX,1984,9.18778796750567,0.319,0.034,0.082,0.054,0.292,0.126
MEX,1985,9.188605879830176,0.32,0.034499999999999975,0.082,0.054,0.292,0.126
MEX,1986,9.135940049399933,0.322,0.035499999999999976,0.082,0.054,0.292,0.126
MEX,1987,9.133027268873512,0.327,0.035,0.09,0.0575,0.292,0.126
MEX,1988,9.126197603863755,0.345,0.04000000000000001,0.128,0.078,0.325,0.129
MEX,1989,9.147613542067878,0.368,0.04450000000000001,0.165,0.095,0.335,0.1295
MEX,1990,9.179778066393542,0.388,0.04899999999999999,0.165,0.095,0.38,0.1355
MEX,1991,9.21119507661209,0.41,0.05000000000000002,0.165,0.095,0.38,0.1355
MEX,1992,9.236223563351157,0.438,0.05399999999999999,0.165,0.095,0.38,0.1355
MEX,1993,9.245497947523528,0.455,0.05449999999999999,0.165,0.095,0.38,0.1355
MEX,1994,9.279960478709972,0.467,0.058000000000000024,0.295,0.12499999999999999,0.521,0.15050000000000002
MEX,1995,9.204820435117888,0.491,0.061000000000000026,0.295,0.12499999999999999,0.573,0.1435
MEX,1996,9.248262078323794,0.512,0.05999999999999997,0.295,0.12499999999999999,0.573,0.1435
MEX,1997,9.308405226904007,0.555,0.06,0.511,0.14650000000000002,0.573,0.1435
MEX,1998,9.351047728176386,0.6,0.061,0.536,0.14450000000000002,0.573,0.1435
MEX,1999,9.383806400734933,0.605,0.0605,0.536,0.14450000000000002,0.573,0.1435
MEX,2000,9.44251471070097,0.671,0.06,0.746,0.118,0.723,0.11499999999999999
MEX,2001,9.438707472770256,0.681,0.059,0.729,0.11699999999999999,0.723,0.11499999999999999
MEX,2002,9.44505698432922,0.693,0.057999999999999996,0.729,0.11699999999999999,0.723,0.11499999999999999
MEX,2003,9.456728119627321,0.702,0.059,0.716,0.12,0.723,0.11499999999999999
MEX,2004,9.49458654096625,0.711,0.0595,0.716,0.12,0.723,0.11499999999999999
MEX,2005,9.521919706664738,0.711,0.0595,0.716,0.12,0.723,0.11499999999999999
MEX,2006,9.56714438858468,0.674,0.059,0.716,0.12,0.723,0.11499999999999999
MEX,2007,9.594563321159512,0.639,0.0635,0.716,0.12,0.714,0.11299999999999999
MEX,2008,9.60292893203065,0.649,0.062,0.716,0.12,0.714,0.11299999999999999
MEX,2009,9.548738538517467,0.65,0.061,0.716,0.12,0.714,0.11299999999999999
MEX,2010,9.595418953151949,0.662,0.0615,0.707,0.13,0.739,0.10849999999999999
MEX,2011,9.62970838525334,0.662,0.062,0.707,0.13,0.739,0.10849999999999999
MEX,2012,9.657523073436215,0.65,0.0605,0.707,0.13,0.721,0.11099999999999999
MEX,2013,9.660141293904399,0.623,0.0625,0.607,0.14150000000000001,0.713,0.11599999999999999
MEX,2014,9.67130325656977,0.621,0.0645,0.607,0.14150000000000001,0.713,0.11599999999999999
MEX,2015,9.686326072899465,0.643,0.063,0.572,0.143,0.7,0.1225
MEX,2016,9.688622142666144,0.643,0.061,0.591,0.1425,0.7,0.1225
MEX,2017,9.69945031997509,0.638,0.06,0.637,0.1325,0.7,0.1225
MEX,2018,9.710756747002298,0.675,0.0625,0.573,0.142,0.669,0.12250000000000005
SWE,1960,9.535968306842717,0.776,0.028500000000000025,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1961,9.586308009295324,0.776,0.027500000000000024,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1962,9.621986339159427,0.776,0.027500000000000024,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1963,9.668271419987649,0.776,0.027500000000000024,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1964,9.726810038127258,0.776,0.028000000000000025,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1965,9.754929537894979,0.776,0.028500000000000025,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1966,9.766062876624456,0.775,0.028000000000000025,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1967,9.791605819888035,0.775,0.028000000000000025,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1968,9.821626526055807,0.775,0.027500000000000024,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1969,9.863446502998944,0.775,0.027500000000000024,0.957,0.03149999999999997,0.971,0.020500000000000018
SWE,1970,9.916847904237965,0.775,0.028000000000000025,0.957,0.03149999999999997,0.973,0.019000000000000017
SWE,1971,9.919360901692418,0.895,0.03400000000000003,0.957,0.03149999999999997,0.973,0.019000000000000017
SWE,1972,9.939095980003495,0.895,0.03400000000000003,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1973,9.976226731176434,0.895,0.03400000000000003,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1974,10.004779804018,0.899,0.03300000000000003,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1975,10.02601487181582,0.905,0.03200000000000003,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1976,10.032979547768882,0.906,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1977,10.01332801821566,0.907,0.032999999999999974,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1978,10.027738514873985,0.907,0.032999999999999974,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1979,10.063265228228518,0.907,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1980,10.077818939438902,0.907,0.03149999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1981,10.076474005852402,0.907,0.03149999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1982,10.085892439191387,0.907,0.03199999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1983,10.102830093664386,0.907,0.03199999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1984,10.140810105023608,0.907,0.03199999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1985,10.158323550582827,0.908,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1986,10.177666364950163,0.907,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1987,10.204184562065404,0.907,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1988,10.220776969740568,0.908,0.03199999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1989,10.23756406455664,0.909,0.030999999999999972,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1990,10.24238541637218,0.913,0.02949999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1991,10.226079422462927,0.912,0.02999999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1992,10.210918158909303,0.911,0.030999999999999972,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1993,10.187117363153945,0.911,0.030999999999999972,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1994,10.222157820208931,0.911,0.03149999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1995,10.258341382753416,0.912,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1996,10.2754684253283,0.912,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1997,10.304364373870472,0.912,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1998,10.347761898127429,0.912,0.03199999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,1999,10.39528982123445,0.909,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2000,10.440057066350553,0.909,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2001,10.4535337721477,0.909,0.03249999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2002,10.479251511253494,0.91,0.03199999999999997,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2003,10.503305824277522,0.911,0.030999999999999972,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2004,10.545764073070249,0.911,0.030999999999999972,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2005,10.57793579251358,0.911,0.030999999999999972,0.971,0.02200000000000002,0.973,0.019000000000000017
SWE,2006,10.621139510973439,0.912,0.03049999999999997,0.972,0.02150000000000002,0.973,0.019000000000000017
SWE,2007,10.654899971401994,0.914,0.02949999999999997,0.972,0.02150000000000002,0.973,0.019000000000000017
SWE,2008,10.649937651835252,0.914,0.02949999999999997,0.972,0.02150000000000002,0.973,0.019000000000000017
SWE,2009,10.599538281217493,0.914,0.02949999999999997,0.972,0.02150000000000002,0.973,0.019000000000000017
SWE,2010,10.660425032979672,0.914,0.02899999999999997,0.972,0.02100000000000002,0.973,0.019000000000000017
SWE,2011,10.647304082870662,0.914,0.02949999999999997,0.972,0.02100000000000002,0.973,0.019000000000000017
SWE,2012,10.637056647594989,0.917,0.02949999999999997,0.972,0.02100000000000002,0.978,0.016000000000000014
SWE,2013,10.640914741787618,0.916,0.02999999999999997,0.977,0.018000000000000016,0.978,0.016000000000000014
SWE,2014,10.656694489523737,0.915,0.030999999999999972,0.977,0.018000000000000016,0.978,0.016000000000000014
SWE,2015,10.686155459034484,0.915,0.03049999999999997,0.977,0.018000000000000016,0.972,0.020000000000000018
SWE,2016,10.706811133741756,0.914,0.02999999999999997,0.977,0.018000000000000016,0.972,0.020000000000000018
SWE,2017,10.71869180425844,0.914,0.02999999999999997,0.977,0.018000000000000016,0.972,0.020000000000000018
SWE,2018,10.726387886844224,0.908,0.03199999999999997,0.983,0.014000000000000012,0.972,0.020000000000000018
CHE,1960,9.702494323954651,0.621,0.025000000000000022,0.871,0.07600000000000001,0.987,0.010000000000000009
CHE,1961,9.758898835252538,0.621,0.025000000000000022,0.871,0.07600000000000001,0.987,0.010000000000000009
CHE,1962,9.786615280133953,0.621,0.025000000000000022,0.871,0.07600000000000001,0.987,0.010000000000000009
CHE,1963,9.822160293930196,0.621,0.025500000000000023,0.871,0.07600000000000001,0.987,0.010000000000000009
CHE,1964,9.862428368430313,0.621,0.026000000000000023,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1965,9.893564102571666,0.621,0.026000000000000023,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1966,9.914651908538694,0.621,0.026000000000000023,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1967,9.93992808244363,0.623,0.025500000000000023,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1968,9.970930588982293,0.622,0.025000000000000022,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1969,10.01268597450074,0.622,0.025000000000000022,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1970,10.063861334348932,0.624,0.025000000000000022,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1971,10.10589674911092,0.628,0.025500000000000023,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1972,10.14080659119482,0.855,0.039000000000000035,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1973,10.165994699103178,0.855,0.039000000000000035,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1974,10.154956928811973,0.855,0.039000000000000035,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1975,10.105121081143826,0.859,0.040000000000000036,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1976,10.116698227764834,0.857,0.04150000000000004,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1977,10.143707170396901,0.863,0.04200000000000004,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1978,10.171940944427785,0.863,0.04200000000000004,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1979,10.1902102274132,0.863,0.04150000000000004,0.881,0.07200000000000001,0.987,0.010000000000000009
CHE,1980,10.218507401898103,0.871,0.039500000000000035,0.882,0.07,0.987,0.010000000000000009
CHE,1981,10.230255172756761,0.871,0.039500000000000035,0.889,0.068,0.987,0.010000000000000009
CHE,1982,10.22777689602633,0.871,0.039500000000000035,0.889,0.068,0.987,0.010000000000000009
CHE,1983,10.240292915807354,0.871,0.039000000000000035,0.889,0.068,0.987,0.010000000000000009
CHE,1984,10.251149895725357,0.871,0.038000000000000034,0.889,0.068,0.987,0.010000000000000009
CHE,1985,10.289319593771932,0.871,0.038000000000000034,0.889,0.068,0.987,0.010000000000000009
CHE,1986,10.336827012633284,0.871,0.038000000000000034,0.889,0.068,0.987,0.010000000000000009
CHE,1987,10.36641530671944,0.871,0.038500000000000034,0.889,0.068,0.987,0.010000000000000009
CHE,1988,10.38846931305194,0.87,0.04150000000000004,0.889,0.068,0.987,0.010000000000000009
CHE,1989,10.413780638529046,0.875,0.04150000000000004,0.889,0.068,0.987,0.010000000000000009
CHE,1990,10.441441843690372,0.887,0.040500000000000036,0.889,0.068,0.987,0.010000000000000009
CHE,1991,10.437892249137159,0.887,0.04150000000000004,0.889,0.068,0.987,0.010000000000000009
CHE,1992,10.444555301336138,0.886,0.04150000000000004,0.889,0.068,0.987,0.010000000000000009
CHE,1993,10.45234665420122,0.886,0.04150000000000004,0.901,0.062,0.987,0.010000000000000009
CHE,1994,10.475139974385437,0.886,0.04150000000000004,0.901,0.062,0.987,0.010000000000000009
CHE,1995,10.491391707758211,0.887,0.041000000000000036,0.901,0.062,0.987,0.010000000000000009
CHE,1996,10.511090202488349,0.89,0.038000000000000034,0.901,0.062,0.987,0.010000000000000009
CHE,1997,10.549686652997517,0.89,0.038000000000000034,0.901,0.062,0.987,0.010000000000000009
