uid,year,country,status,fscore,ret
4IG,2012,Hungary,active,7.0,-0.01627279791561909
4IG,2013,Hungary,active,7.0,-0.1073806078147612
4IG,2014,Hungary,active,6.0,-0.002594033722438494
4IG,2015,Hungary,active,6.0,0.3340580068185186
4IG,2016,Hungary,active,6.0,0.3127121840814786
4IG,2017,Hungary,active,5.0,14.37142857142857
4IG,2018,Hungary,active,4.0,-0.4027777777777778
4IG,2019,Hungary,active,5.0,0.00967741935483879
4IG,2020,Hungary,active,5.0,0.2680577849117174
4IG,2021,Hungary,active,8.0,-0.1581632653061225
4IG,2022,Hungary,active,6.0,0.1426491994177583
4IG,2023,Hungary,active,6.0,1.255842558425584
4IG,2024,Hungary,active,5.0,0.180931744312026
ALE.WA,2019,Poland,active,6.0,-0.0625714285714285
ALE.WA,2020,Poland,active,8.0,-0.6456909361069836
ALE.WA,2021,Poland,active,9.0,0.3781223083548666
ALE.WA,2022,Poland,active,4.0,0.1759201497192764
ALE.WA,2023,Poland,active,8.0,-0.07140939597315432
ALE.WA,2024,Poland,active,9.0,-0.1231447465099191
ATG.WA,2010,Poland,delisted,3.0,-0.4112489964889203
ATG.WA,2011,Poland,delisted,1.0,0.02987330809555355
ATG.WA,2012,Poland,delisted,1.0,1.389780227676326
ATG.WA,2013,Poland,delisted,3.0,0.1897094405070336
ATG.WA,2014,Poland,delisted,2.0,0.06370141330669976
ATG.WA,2015,Poland,delisted,1.0,0.2232883583932499
ATG.WA,2016,Poland,delisted,4.0,0.2646537036061196
ATG.WA,2017,Poland,delisted,4.0,-0.1095769442367645
ATG.WA,2018,Poland,delisted,3.0,0.0978115405809652
ATG.WA,2019,Poland,delisted,9.0,-0.03722866505531275
ATG.WA,2020,Poland,delisted,8.0,0.03971829370958546
BDX.WA,2010,Poland,active,3.0,-0.3124828872975056
BDX.WA,2011,Poland,active,8.0,0.7547775611800667
BDX.WA,2012,Poland,active,5.0,0.38508439205922
BDX.WA,2013,Poland,active,7.0,0.4309600729981011
BDX.WA,2014,Poland,active,4.0,0.1150184164419388
BDX.WA,2015,Poland,active,4.0,0.4546020466409113
BDX.WA,2016,Poland,active,8.0,-0.4254263897809177
BDX.WA,2017,Poland,active,6.0,0.1285464335903446
BDX.WA,2018,Poland,active,4.0,0.6180325987889652
BDX.WA,2019,Poland,active,8.0,0.3153504530184261
BDX.WA,2020,Poland,active,5.0,-0.01888350827167473
BDX.WA,2021,Poland,active,7.0,0.6188666393551858
BDX.WA,2022,Poland,active,8.0,1.037808304618875
BDX.WA,2023,Poland,active,6.0,-0.1669880908598919
BDX.WA,2024,Poland,active,4.0,0.2145748987854252
CDR.WA,2010,Poland,active,1.0,-0.3067628762502771
CDR.WA,2011,Poland,active,7.0,0.876286537669823
CDR.WA,2012,Poland,active,7.0,0.6564399179982563
CDR.WA,2013,Poland,active,7.0,0.578013396854963
CDR.WA,2014,Poland,active,6.0,0.1271022724749415
CDR.WA,2015,Poland,active,7.0,2.180198144411801
CDR.WA,2016,Poland,active,5.0,0.8966093576938046
CDR.WA,2017,Poland,active,2.0,0.3428578977265222
CDR.WA,2018,Poland,active,7.0,0.8231193073203644
CDR.WA,2019,Poland,active,6.0,-0.5279037028087556
CDR.WA,2020,Poland,active,6.0,-0.4931142981786455
CDR.WA,2021,Poland,active,3.0,0.6094973499384244
CDR.WA,2022,Poland,active,6.0,-0.09701278372032351
CDR.WA,2023,Poland,active,7.0,1.037765424752174
CDR.WA,2024,Poland,active,6.0,-0.05507246376811592
CEZ,2010,Czech Republic,active,3.0,-0.1270533547261838
CEZ,2011,Czech Republic,active,6.0,-0.265332047691201
CEZ,2012,Czech Republic,active,7.0,0.1292012144761323
CEZ,2013,Czech Republic,active,5.0,0.06110842629174407
CEZ,2014,Czech Republic,active,4.0,-0.1513067104703967
CEZ,2015,Czech Republic,active,5.0,0.005482482766063779
