uid,tid,ft,y
1,1,7,8.73069036567864
1,2,7,8.54130026675947
1,3,7,8.46146904264388
1,4,7,8.33686963728496
1,5,7,8.34021732094704
1,6,7,8.37816098272068
1,7,7,8.48735234940522
2,1,7,5.55682806169954
2,2,7,5.35658627467201
2,3,7,5.3890717298165
2,4,7,5.35658627467201
2,5,7,5.30330490805908
2,6,7,5.34233425196481
2,7,7,5.22035582507832
3,1,7,9.32197118814737
3,2,7,9.12456459495478
3,3,7,9.02581639162703
3,4,7,8.89863879368018
3,5,7,8.92092346223069
3,6,7,8.91865027812686
3,7,7,8.96316024283373
4,1,7,5.19849703126583
4,2,7,5.26269018890489
4,3,7,5.27811465923052
4,4,7,5.28826703069454
4,5,7,5.37527840768417
4,6,7,5.44241771052179
4,7,7,5.73009978297357
5,1,7,3.13549421592915
5,2,7,3.66356164612965
5,3,7,3.46573590279973
5,4,7,3.29583686600433
5,5,7,2.99573227355399
5,6,7,2.94443897916644
5,7,7,2.39789527279837
6,1,7,8.59062950948942
6,2,7,8.4213428657594
6,3,7,8.3059782109673
6,4,7,8.20385137218388
6,5,7,8.19229373114764
6,6,7,8.20001364817543
6,7,7,8.21365270303
7,1,7,5.85220247977447
7,2,7,5.80814248998044
7,3,7,5.78996017089725
7,4,7,5.57972982598622
7,5,7,5.71702770140622
7,6,7,5.67332326717149
7,7,7,5.76519110278484
8,1,7,3.40119738166216
8,2,7,3.71357206670431
8,3,7,3.49650756146648
8,4,7,3.25809653802148
8,5,7,3.13549421592915
8,6,7,3.3322045101752
8,7,7,3.3322045101752
9,1,7,5.15329159449778
9,2,7,5.08140436498446
9,3,7,4.99721227376411
9,4,7,5.08140436498446
9,5,7,4.78749174278205
9,6,7,4.99043258677874
9,7,7,5.03695260241363
10,1,7,3.3322045101752
10,2,7,3.78418963391826
10,3,7,3.49650756146648
10,4,7,3.49650756146648
10,5,7,3.36729582998647
10,6,7,3.2188758248682
10,7,7,3.36729582998647
11,1,7,2.39789527279837
11,2,7,2.484906649788
11,3,7,2.19722457733622
11,4,7,2.30258509299405
11,5,7,2.77258872223978
11,6,7,1.94591014905531
11,7,7,2.99573227355399
12,1,7,2.89037175789616
12,2,7,2.83321334405622
12,3,7,2.70805020110221
12,4,7,2.63905732961526
12,5,7,2.19722457733622
12,6,7,2.77258872223978
12,7,7,2.19722457733622
13,1,7,3.2188758248682
13,2,7,3.63758615972639
13,3,7,3.43398720448515
13,4,7,3.2188758248682
13,5,7,2.77258872223978
13,6,7,2.94443897916644
13,7,7,2.63905732961526
14,1,7,5.84932477994686
14,2,7,5.88887795833288
14,3,7,5.88332238848828
14,4,7,5.78996017089725
14,5,7,5.85793315448346
14,6,7,5.99893656194668
14,7,7,6.10479323241498
15,1,7,9.32062872587031
15,2,7,9.11140362411616
15,3,7,8.98569569453571
15,4,7,8.91193433616143
15,5,7,8.89316082873538
15,6,7,8.89316082873538
15,7,7,8.95376929454945
16,1,7,2.83321334405622
16,2,7,2.77258872223978
16,3,7,2.39789527279837
16,4,7,2.484906649788
16,5,7,2.39789527279837
16,6,7,2.39789527279837
16,7,7,1.79175946922805
17,1,7,8.39638057119949
17,2,7,8.28020423327997
17,3,7,8.27333659850449
17,4,7,8.24249315318763
17,5,7,8.27205962221041
17,6,7,8.38617292897783
17,7,7,8.42485858021344
18,1,7,6.67959918584438
18,2,7,6.40522845803084
18,3,7,6.60394382460047
18,4,7,6.62273632394984
18,5,7,6.68710860786651
18,6,7,6.79122146272619
18,7,7,6.88141130364254
19,1,7,4.99721227376411
19,2,7,5.01727983681492
19,3,7,5.12989871492307
19,4,7,4.99721227376411
19,5,7,5.02388052084628
19,6,7,5.12396397940326
19,7,7,4.77068462446567
20,1,7,9.18101454259435
20,2,7,9.07406235368355
20,3,7,8.96865090337487
20,4,7,8.9157008189569
20,5,7,8.90095787254506
20,6,7,8.90272766403552
20,7,7,8.88100262425557
21,1,7,6.13339804299665
21,2,7,6.12029741895095
21,3,7,5.97126183979046
21,4,7,6.06610809010375
21,5,7,6.00881318544259
21,6,7,5.88332238848828
21,7,7,5.93753620508243
22,1,7,6.75693238924755
22,2,7,6.70073110954781
22,3,7,6.53233429222235
22,4,7,6.57088296233958
22,5,7,6.65286302935335
22,6,7,6.76619171466035
22,7,7,6.89365635460264
23,1,7,4.34380542185368
23,2,7,4.23410650459726
23,3,7,3.80666248977032
23,4,7,4.00733318523247
23,5,7,4.14313472639153
23,6,7,3.76120011569356
