id,year,lwage,wks
1,1976,5.56068,32
1,1977,5.72031,43
1,1978,5.99645,40
1,1979,5.99645,39
1,1980,6.06146,42
1,1981,6.17379,35
1,1982,6.24417,32
2,1976,6.16331,34
2,1977,6.21461,27
2,1978,6.2634,33
2,1979,6.54391,30
2,1980,6.69703,30
2,1981,6.79122,37
2,1982,6.81564,30
3,1976,5.65249,50
3,1977,6.43615,51
3,1978,6.54822,50
3,1979,6.60259,52
3,1980,6.6958,52
3,1981,6.77878,52
3,1982,6.86066,46
4,1976,6.15698,52
4,1977,6.23832,46
4,1978,6.30079,46
4,1979,6.35957,49
4,1980,6.46925,44
4,1981,6.56244,52
4,1982,6.62141,46
5,1976,6.43775,50
5,1977,6.62007,46
5,1978,6.63332,40
5,1979,6.98286,50
5,1980,7.04752,47
5,1981,7.31322,47
5,1982,7.29574,49
6,1976,6.90575,44
6,1977,6.90575,47
6,1978,6.90776,47
6,1979,7.00307,47
6,1980,7.06902,44
6,1981,7.52023,45
6,1982,7.33889,47
7,1976,6.1334,46
7,1977,6.17379,48
7,1978,6.21261,49
7,1979,6.31355,46
7,1980,6.37502,47
7,1981,6.44572,47
7,1982,6.52209,48
8,1976,6.3315,51
8,1977,6.40357,50
8,1978,6.54391,50
8,1979,6.56244,50
8,1980,6.59167,44
8,1981,6.81783,51
8,1982,6.89163,51
9,1976,6.55108,50
9,1977,6.55108,48
9,1978,6.80239,50
9,1979,6.90776,48
9,1980,7.09008,48
9,1981,7.17012,44
9,1982,7.20786,48
10,1976,6.39693,49
10,1977,6.43775,47
10,1978,6.43775,46
10,1979,6.43775,44
10,1980,6.52209,43
10,1981,6.61338,34
10,1982,6.73934,40
11,1976,6.65801,47
11,1977,6.72623,48
11,1978,6.80239,45
11,1979,6.90776,45
11,1980,7.03966,47
11,1981,7.12769,17
11,1982,7.24423,47
12,1976,6.55108,47
12,1977,6.62936,46
12,1978,6.72263,47
12,1979,6.7334,47
12,1980,6.72263,47
12,1981,6.95177,47
12,1982,7.05272,46
13,1976,6.90575,48
13,1977,6.90073,48
13,1978,7.17012,50
13,1979,7.26543,48
13,1980,7.25912,48
13,1981,7.25488,46
13,1982,7.40001,46
14,1976,6.80239,45
14,1977,6.80239,45
14,1978,6.9256,45
14,1979,7.00307,44
14,1980,7.1309,44
14,1981,7.12448,44
14,1982,7.12287,44
15,1976,5.94017,50
15,1977,5.86079,46
15,1978,5.99894,48
15,1979,6.0845,46
15,1980,6.39526,48
15,1981,6.47697,41
15,1982,6.47697,48
16,1976,5.97889,50
16,1977,5.78383,50
16,1978,5.85793,48
16,1979,5.95324,48
16,1980,6.14633,50
16,1981,6.17587,50
16,1982,6.38856,49
17,1976,6.62007,49
17,1977,6.49224,48
17,1978,6.77992,49
17,1979,6.74524,50
17,1980,7.09008,51
17,1981,7.1309,46
17,1982,7.1309,47
18,1976,6.90575,47
18,1977,6.90575,46
18,1978,7.6009,47
18,1979,7.64969,47
18,1980,7.71869,47
18,1981,7.78322,48
18,1982,7.80384,47
19,1976,6.38688,37
19,1977,6.47389,49
19,1978,6.54247,50
19,1979,6.67582,47
19,1980,6.7417,47
19,1981,6.83195,25
19,1982,6.93634,40
20,1976,6.78333,50
20,1977,6.85751,49
20,1978,6.98472,49
20,1979,7.0579,48
20,1980,7.20564,48
20,1981,7.10988,49
20,1982,7.26683,48
21,1976,6.05912,42
21,1977,6.05209,46
21,1978,5.99146,49
21,1979,6.21461,49
21,1980,6.32436,48
21,1981,6.44254,45
21,1982,6.44254,42
22,1976,6.59987,46
22,1977,6.59987,45
22,1978,6.68461,44
22,1979,6.72743,46
22,1980,6.88244,47
22,1981,6.95655,51
